NAME,RA,DEC,SBF,NED_D,VIRGO,VHel,D,M_K,A_B,Column1,log_RE
NGC3652,170.6627,37.76504,0,0,False,1997,32.1,-22.08,0.09,t.T-type,1.31
NGC3655,170.7275,16.59017,0,1,False,1473,24,-23.08,0.11,t.T-type,1.29
NGC3659,170.9396,17.81857,0,0,False,1285,24,-21.62,0.08,t.T-type,1.3
NGC3666,171.1087,11.34201,0,0,False,1060,15.6,-21.75,0.14,t.T-type,1.36
NGC3669,171.3617,57.72116,0,0,False,1940,31.8,-21.94,0.07,t.T-type,1.38
NGC3681,171.6242,16.86322,0,0,False,1239,23.4,-22.86,0.11,t.T-type,1.43
NGC3683,171.8829,56.87671,0,1,False,1716,33.3,-23.95,0.07,t.T-type,1.15
NGC3683A,172.2989,57.13218,0,0,False,2427,38.3,-23.3,0.06,t.T-type,1.51
NGC3684,171.7966,17.03031,0,0,False,1163,21.6,-22.4,0.11,t.T-type,1.47
NGC3686,171.9331,17.22406,0,0,False,1156,21.4,-23.18,0.1,t.T-type,1.66
NGC3689,172.0459,25.66104,0,0,False,2739,41.2,-23.89,0.09,t.T-type,1.37
NGC3701,172.3704,24.0935,0,0,False,2796,41.9,-22.63,0.07,t.T-type,1.37
NGC3718,173.1456,53.06783,0,0,False,993,18.8,-23.61,0.06,t.T-type,1.74
NGC3726,173.3382,47.02909,0,7,False,866,14.7,-23.07,0.07,t.T-type,1.96
NGC3729,173.4555,53.1255,0,5,False,1060,20.9,-22.88,0.05,t.T-type,1.66
NGC3755,174.139,36.4103,0,0,False,1570,27,-21.57,0.11,t.T-type,1.41
NGC3756,174.1999,54.29368,0,0,False,1318,23.6,-23.09,0.05,t.T-type,1.69
NGC3769,174.4338,47.89309,0,4,False,737,17.2,-21.99,0.1,t.T-type,1.46
NGC3780,174.8432,56.27073,0,0,False,2399,38,-23.86,0.06,t.T-type,1.63
NGC3786,174.927,31.90936,0,0,False,2678,40.8,-23.72,0.1,t.T-type,1.31
NGC3788,174.9358,31.9313,0,0,False,2699,41.1,-23.73,0.1,t.T-type,1.21
NGC3810,175.2447,11.47113,0,0,True,992,16.5,-23.15,0.19,t.T-type,1.59
NGC3813,175.3277,36.5467,0,0,False,1465,25.7,-23.2,0.08,t.T-type,1.43
NGC3877,176.5324,47.4945,0,0,False,895,16.8,-23.39,0.1,t.T-type,1.64
NGC3893,177.1592,48.71079,0,5,False,967,20.2,-23.64,0.09,t.T-type,1.69
NGC3898,177.314,56.08435,0,0,False,1176,21.7,-24.03,0.09,t.T-type,1.5
NGC3900,177.2893,27.02208,0,0,False,1798,29.8,-23.68,0.14,t.T-type,1.51
NGC3912,177.5185,26.479,0,0,False,1779,29.6,-22.41,0.09,t.T-type,1.28
NGC3917,177.6895,51.82421,0,4,False,965,16.4,-22.21,0.09,t.T-type,1.73
NGC3938,178.2061,44.12073,0,0,False,809,14.5,-23,0.09,t.T-type,1.86
NGC3949,178.424,47.85878,0,5,False,800,18.9,-22.79,0.09,t.T-type,1.52
NGC3953,178.4543,52.32654,0,7,False,1052,17.8,-24.22,0.13,t.T-type,1.89
NGC3972,178.938,55.32067,0,4,False,852,22,-22.08,0.06,t.T-type,1.5
NGC3982,179.1174,55.12536,0,23,False,1109,21.3,-22.8,0.06,t.T-type,1.43
NGC3992,179.3999,53.37452,0,5,False,1048,20.7,-24.65,0.13,t.T-type,2
NGC4010,179.6583,47.26131,0,0,False,902,16.9,-21.56,0.1,t.T-type,1.45
NGC4013,179.6309,43.94702,0,0,False,831,15,-23.25,0.07,t.T-type,1.67
NGC4041,180.5507,62.13729,0,0,False,1234,22.6,-23.36,0.08,t.T-type,1.35
NGC4051,180.7904,44.53126,0,5,False,700,14.9,-23.2,0.06,t.T-type,1.91
NGC4064,181.0466,18.44345,0,0,True,913,16.5,-22.54,0.09,t.T-type,1.55
NGC4085,181.3446,50.35275,0,4,False,746,21,-22.5,0.08,t.T-type,1.34
NGC4088,181.3925,50.53903,0,6,False,757,14.4,-23.31,0.09,t.T-type,1.76
NGC4100,181.5358,49.58231,0,7,False,1074,19.6,-23.44,0.1,t.T-type,1.65
NGC4102,181.5963,52.71095,0,4,False,846,21.1,-23.91,0.09,t.T-type,1.25
NGC4123,182.0462,2.878309,0,0,True,1327,16.5,-22.3,0.09,t.T-type,1.91
NGC4138,182.3741,43.68532,1,5,False,888,13.4,-22.44,0.06,t.T-type,1.37
NGC4145,182.5063,39.88386,0,0,False,1016,19,-22.92,0.12,t.T-type,1.99
NGC4151,182.6361,39.40576,0,0,False,995,18.5,-23.96,0.12,t.T-type,1.43
NGC4157,182.7682,50.48468,0,0,False,774,14.7,-23.48,0.09,t.T-type,1.58
NGC4180,183.2627,7.038787,0,0,True,2096,16.5,-21.99,0.07,t.T-type,1.15
NGC4194,183.5399,54.52668,0,0,False,2501,39.4,-23.36,0.07,t.T-type,0.89
NGC4205,183.7316,63.78276,0,0,False,1417,25.1,-21.57,0.09,t.T-type,1.23
NGC4217,183.9621,47.09179,0,4,False,1027,18,-23.7,0.08,t.T-type,1.71
NGC4220,184.0489,47.88335,0,0,False,914,17.3,-23.07,0.08,t.T-type,1.47
NGC4224,184.1407,7.462119,0,0,False,2603,38.7,-24.34,0.1,t.T-type,1.41
NGC4235,184.2913,7.191658,0,0,False,2410,36.2,-24.41,0.08,t.T-type,1.43
NGC4245,184.4033,29.608,0,0,False,884,12.4,-22.17,0.09,t.T-type,1.44
NGC4258,184.7401,47.30372,1,31,False,448,7.1,-23.79,0.07,t.T-type,2.11
NGC4260,184.8427,6.098803,0,1,False,1958,37.7,-24.35,0.1,t.T-type,1.53
NGC4266,184.9263,5.5382,0,0,True,1536,16.5,-21.64,0.1,t.T-type,1.27
NGC4274,184.9611,29.6147,0,0,False,930,14.5,-23.78,0.1,t.T-type,1.75
NGC4275,184.9692,27.62089,0,0,False,2312,36.1,-22.6,0.09,t.T-type,1.24
NGC4276,185.0312,7.691995,0,0,False,2618,38.9,-22.27,0.13,t.T-type,1.36
NGC4289,185.2596,3.72196,0,0,False,2618,38.6,-23.05,0.09,t.T-type,1.08
NGC4293,185.3037,18.3824,0,0,True,893,16.5,-23.62,0.17,t.T-type,1.83
NGC4300,185.4228,5.384774,0,0,False,2310,34.9,-23.19,0.09,t.T-type,1.32
NGC4303,185.479,4.47359,0,0,True,1566,16.5,-24.25,0.1,t.T-type,1.9
NGC4314,185.6332,29.8953,0,0,False,963,16.2,-23.5,0.11,t.T-type,1.59
NGC4343,185.9112,6.953936,0,0,True,1014,16.5,-22.13,0.09,t.T-type,1.21
NGC4355,186.7276,-0.877642,0,0,False,2179,32.9,-22.48,0.1,t.T-type,1.17
NGC4369,186.1508,39.38298,0,0,False,1045,19.7,-22.57,0.11,t.T-type,1.36
NGC4370,186.2289,7.444566,0,0,True,782,16.5,-21.79,0.1,t.T-type,1.27
NGC4378,186.3253,4.925024,0,0,False,2559,38,-24.39,0.07,t.T-type,1.32
NGC4384,186.3,54.50613,0,0,False,2513,39.6,-22.61,0.08,t.T-type,1.31
NGC4385,186.4284,0.572589,0,0,False,2140,32.5,-22.79,0.11,t.T-type,1.33
NGC4389,186.3962,45.68467,0,4,False,718,16.4,-21.95,0.06,t.T-type,1.52
NGC4394,186.4818,18.21393,0,0,True,922,16.5,-22.94,0.13,t.T-type,1.62
NGC4430,186.8599,6.26264,0,0,True,1451,16.5,-21.74,0.08,t.T-type,1.69
NGC4437,188.1899,0.11504,0,0,False,1128,17.3,-23.88,0.1,t.T-type,1.96
NGC4457,187.2459,3.570607,0,0,True,882,16.5,-23.32,0.09,t.T-type,1.32
NGC4490,187.6515,41.64363,0,2,False,565,6.9,-21.85,0.09,t.T-type,1.77
NGC4527,188.5354,2.65381,0,14,False,1736,14.1,-23.81,0.09,t.T-type,1.68
NGC4532,188.5805,6.467703,0,0,True,2012,16.5,-21.61,0.09,t.T-type,1.41
NGC4536,188.613,2.18788,0,42,True,1808,14.9,-23.36,0.08,t.T-type,1.84
NGC4539,188.6448,18.20258,0,0,True,1397,16.5,-21.65,0.1,t.T-type,1.58
NGC4565,189.0867,25.98739,1,7,False,1230,17,-25.1,0.07,t.T-type,1.87
NGC4580,189.4517,5.368432,0,0,True,1034,16.5,-22.32,0.1,t.T-type,1.52
NGC4586,189.6185,4.319099,0,0,True,794,16.5,-22.63,0.16,t.T-type,1.64
NGC4631,190.5334,32.54151,0,3,False,606,7.1,-22.8,0.07,t.T-type,2.03
NGC4632,190.6335,-0.08254,0,0,False,1726,28.1,-22.98,0.1,t.T-type,1.48
NGC4642,190.8241,-0.644248,0,0,False,2644,38.7,-22.59,0.11,t.T-type,1.33
NGC4653,190.9622,-0.561301,0,0,False,2631,38.6,-22.97,0.1,t.T-type,1.6
NGC4666,191.2861,-0.46191,0,0,False,1529,26.4,-25.06,0.11,t.T-type,1.5
NGC4668,191.3833,-0.535833,0,0,False,1636,27.2,-21.6,0.11,t.T-type,1.35
NGC4689,191.9397,13.76269,0,0,True,1616,16.5,-23.13,0.1,t.T-type,1.98
NGC4698,192.0956,8.487244,0,0,True,1009,16.5,-23.53,0.11,t.T-type,1.61
NGC4746,192.9807,12.08303,0,0,True,1783,16.5,-21.6,0.16,t.T-type,1.22
NGC4808,193.9539,4.304094,0,0,True,759,16.5,-22.06,0.16,t.T-type,1.43
NGC4814,193.8414,58.34397,0,0,False,2517,39.8,-23.95,0.04,t.T-type,1.38
NGC4826,194.1821,21.68266,1,2,False,408,7.3,-24,0.18,t.T-type,1.92
NGC4845,194.5052,1.57558,0,0,False,1232,23.2,-24.04,0.09,t.T-type,1.59
NGC4866,194.8631,14.17105,0,0,True,1988,16.5,-23.18,0.12,t.T-type,1.48
NGC4880,195.0439,12.48337,0,0,True,1377,16.5,-22.02,0.14,t.T-type,1.71
NGC5012,197.9044,22.91547,0,1,False,2619,39.1,-24.2,0.06,t.T-type,1.49
NGC5016,198.0279,24.09505,0,0,False,2612,39.9,-23.29,0.06,t.T-type,1.39
NGC5169,202.0418,46.67214,0,0,False,2436,38.5,-21.86,0.16,t.T-type,1.4
NGC5194,202.4696,47.19526,0,8,False,463,7.6,-23.93,0.15,t.T-type,2.12
NGC5195,202.4983,47.26613,1,0,False,465,7.4,-23.12,0.15,t.T-type,1.8
NGC5289,206.2861,41.5033,0,0,False,2526,39.6,-23.25,0.04,t.T-type,1.03
NGC5290,206.3297,41.71234,0,0,False,2573,40.2,-24.59,0.03,t.T-type,1.36
NGC5297,206.5987,43.87204,0,0,False,2409,38.1,-24.02,0.06,t.T-type,1.54
NGC5300,207.067,3.9509,0,0,False,1171,20,-22.02,0.1,t.T-type,1.69
NGC5311,207.2336,39.98524,0,0,False,2698,41.8,-23.86,0.06,t.T-type,1.25
NGC5313,207.4348,39.9846,0,0,False,2538,39.7,-24.18,0.04,t.T-type,1.37
NGC5320,207.5849,41.36634,0,0,False,2619,40.8,-23.33,0.03,t.T-type,1.45
NGC5326,207.7113,39.57491,0,0,False,2520,39.4,-24.1,0.07,t.T-type,1.22
NGC5336,208.0406,43.24278,0,0,False,2336,37.1,-22.05,0.07,t.T-type,1.28
NGC5346,208.258,39.58052,0,0,False,2519,39.4,-21.81,0.06,t.T-type,1.35
NGC5350,208.3399,40.36396,0,0,False,2321,36.8,-24.21,0.05,t.T-type,1.55
NGC5362,208.7221,41.31353,0,0,False,2175,35,-22.74,0.03,t.T-type,1.39
NGC5363,209.0302,5.2547,0,0,False,1139,19.3,-24.51,0.12,t.T-type,1.58
NGC5364,209.05,5.01446,0,2,False,1241,18.3,-23.52,0.12,t.T-type,1.91
NGC5372,208.6917,58.66639,0,0,False,1717,29.2,-21.69,0.04,t.T-type,0.98
NGC5383,209.2708,41.846,0,0,False,2270,36.2,-24.26,0.03,t.T-type,1.65
NGC5389,209.0265,59.74199,0,0,False,1842,30.9,-23.84,0.09,t.T-type,1.32
NGC5425,210.1986,48.44384,0,0,False,2074,33.8,-21.68,0.08,t.T-type,1.36
NGC5443,210.5493,55.81404,0,0,False,1803,30.3,-23.37,0.06,t.T-type,1.49
NGC5448,210.7086,49.17265,0,1,False,2023,34.8,-23.92,0.06,t.T-type,1.72
NGC5457,210.8024,54.34875,0,28,False,241,7.2,-23.77,0.04,t.T-type,2.5
NGC5480,211.5897,50.725,0,0,False,1856,31,-23,0.08,t.T-type,1.5
NGC5506,213.3121,-3.20756,0,0,False,1853,28.6,-24.11,0.26,t.T-type,1.46
NGC5520,213.0949,50.34843,0,0,False,1877,31.2,-22.51,0.08,t.T-type,1.08
NGC5566,215.0831,3.93359,0,0,False,1507,24.8,-24.59,0.13,t.T-type,1.53
NGC5577,215.3046,3.435767,0,0,False,1489,24.5,-22.21,0.18,t.T-type,1.52
NGC5587,215.5447,13.91794,0,0,False,2303,35.4,-23.07,0.1,t.T-type,1.27
NGC5600,215.9564,14.63874,0,0,False,2319,35.7,-23.36,0.09,t.T-type,1.28
NGC5604,216.1784,-3.212143,0,0,False,2748,40.1,-23.33,0.31,t.T-type,1.2
NGC5633,216.8683,46.14655,0,0,False,2334,37.2,-23.27,0.07,t.T-type,1.23
NGC5660,217.4575,49.62261,0,0,False,2328,37.2,-23.47,0.09,t.T-type,1.53
NGC5665,218.1075,8.078453,0,0,False,2228,34.1,-23.19,0.11,t.T-type,1.47
NGC5666,218.2882,10.51079,0,0,False,2221,34.1,-22.5,0.12,t.T-type,0.98
NGC5673,217.8788,49.95881,0,0,False,2082,33.9,-21.58,0.09,t.T-type,1.35
NGC5676,218.1952,49.45781,0,0,False,2114,34.4,-24.78,0.12,t.T-type,1.57
NGC5689,218.8736,48.74149,0,0,False,2160,35,-24.33,0.15,t.T-type,1.27
NGC5690,219.4211,2.290972,0,0,False,1753,27.6,-23.25,0.17,t.T-type,1.44
NGC5691,219.4722,-0.398871,0,0,False,1870,28.9,-22.34,0.16,t.T-type,1.31
NGC5693,219.0465,48.58453,0,0,False,2279,36.5,-21.74,0.16,t.T-type,1.44
NGC5701,219.796,5.363602,0,0,False,1505,24.6,-23.83,0.16,t.T-type,1.63
NGC5713,220.048,-0.28921,0,0,False,1899,29.2,-24.01,0.17,t.T-type,1.56
NGC5714,219.5481,46.63836,0,0,False,2237,35.9,-22.81,0.06,t.T-type,1.29
NGC5719,220.235,-0.318193,0,0,False,1733,27.1,-23.94,0.17,t.T-type,1.27
NGC5746,221.2334,1.95474,0,0,False,1724,27.1,-25.3,0.17,t.T-type,1.82
NGC5750,221.5463,-0.223054,0,0,False,1687,26.5,-23.69,0.19,t.T-type,1.52
NGC5768,223.0331,-2.529713,0,0,False,1962,29.8,-22.68,0.39,t.T-type,1.4
NGC5775,223.4902,3.544473,0,0,False,1681,26.6,-24.38,0.18,t.T-type,1.52
NGC5792,224.5946,-1.09108,0,0,False,1922,29.4,-24.65,0.25,t.T-type,1.63
NGC5806,225.0018,1.891267,0,1,False,1359,21.4,-23.22,0.22,t.T-type,1.5
NGC5879,227.4448,57.00021,0,0,False,772,15.9,-22.22,0.05,t.T-type,1.36
NGC5899,228.7635,42.04985,0,0,False,2562,40.1,-24.45,0.15,t.T-type,1.49
NGC5900,228.7709,42.20985,0,0,False,2511,39.5,-23.56,0.11,t.T-type,1.05
NGC5907,228.9737,56.32885,0,0,False,667,14.2,-24,0.05,t.T-type,1.98
NGC5913,230.231,-2.578036,0,0,False,2004,30.2,-23.37,0.94,t.T-type,1.4
NGC5930,231.5333,41.67609,0,0,False,2616,40.8,-24.13,0.1,t.T-type,1.44
NGC5937,232.6922,-2.829532,0,0,False,2807,40.9,-24.08,0.77,t.T-type,1.35
NGC5950,232.8784,40.43015,0,0,False,2597,40.5,-22.03,0.12,t.T-type,1.33
NGC5953,233.635,15.19383,0,0,False,1965,30.9,-23.31,0.21,t.T-type,1.2
NGC5954,233.6458,15.2,0,0,False,1959,30.8,-22.46,0.21,t.T-type,1.29
NGC5956,233.7438,11.75036,0,0,False,1899,29.8,-22.52,0.21,t.T-type,1.16
NGC5957,233.8468,12.04751,0,0,False,1827,28.9,-22.82,0.19,t.T-type,1.5
NGC5962,234.1319,16.60789,0,0,False,1957,30.9,-23.93,0.23,t.T-type,1.45
NGC5970,234.6249,12.18661,0,1,False,1957,29.5,-23.55,0.18,t.T-type,1.43
NGC6168,247.8387,20.185,0,0,False,2519,38.5,-22.31,0.27,t.T-type,1.22
NGC7331,339.2671,34.41592,1,22,False,816,12.8,-24.54,0.4,t.T-type,1.79
NGC7448,345.015,15.98036,0,2,False,2194,29.3,-23.34,0.24,t.T-type,1.38
NGC7537,348.6437,4.498339,0,2,False,2674,31.5,-22.31,0.29,t.T-type,1.15
NGC7541,348.6827,4.533899,0,5,False,2689,31.3,-24.15,0.29,t.T-type,1.48
NGC7731,355.3713,3.739953,0,0,False,2886,40.9,-22.44,0.23,t.T-type,1.14
NGC7732,355.3911,3.724953,0,0,False,2907,41.2,-22.31,0.23,t.T-type,1.43
NGC7750,356.6577,3.799756,0,0,False,2938,41.6,-23.06,0.22,t.T-type,1.33
NGC7757,357.1897,4.171108,0,0,False,2956,41.9,-22.22,0.19,t.T-type,1.47
NGC7798,359.8563,20.74989,0,0,False,2403,35.4,-23.4,0.29,t.T-type,1.27
NGC7817,0.995411,20.75234,0,0,False,2309,34.1,-24.26,0.25,t.T-type,1.52
PGC026857,141.9783,44.50625,0,0,False,2670,40.6,-21.52,0.1,t.T-type,1.09
PGC039691,184.9107,28.49534,0,0,False,2401,37.3,-21.53,0.11,t.T-type,0.76
PGC047559,202.9071,46.15097,0,0,False,2635,41.1,-22.32,0.07,t.T-type,1.14
PGC049002,207.1881,41.70963,0,0,False,2695,41.8,-21.69,0.04,t.T-type,0.91
PGC049142,207.673,40.27934,0,0,False,2318,36.8,-21.52,0.03,t.T-type,1.05
PGC051697,217.0972,-3.604455,0,0,False,2768,40.3,-22.13,0.39,t.T-type,1.27
UGC00903,20.44914,17.59238,0,0,False,2518,36.4,-23.43,0.43,t.T-type,1.04
UGC01020,21.68332,17.26448,0,0,False,2589,37.3,-21.8,0.69,t.T-type,1.26
UGC04306,124.4032,35.44598,0,0,False,2400,36.1,-22.48,0.3,t.T-type,0.97
UGC04375,125.797,22.66458,0,0,False,2061,30.8,-22.95,0.2,t.T-type,1.57
UGC04550,130.8167,13.08585,0,0,False,2067,30.3,-21.55,0.21,t.T-type,1.17
UGC04559,131.0317,30.11911,0,0,False,2085,31.7,-22.49,0.27,t.T-type,1.14
UGC04982,140.7628,44.55488,0,0,False,2658,40.4,-22.21,0.09,t.T-type,1.15
UGC05049,142.2307,49.23842,0,0,False,2723,41.6,-22.24,0.06,t.T-type,1.16
UGC05228,146.5152,1.668322,0,0,False,1872,27.6,-22.09,0.71,t.T-type,1.4
UGC05459,152.042,53.08348,0,0,False,1112,20.2,-21.88,0.03,t.T-type,1.51
UGC05897,161.9227,11.07712,0,0,False,2718,39.8,-22.75,0.13,t.T-type,1.56
UGC06023,163.5869,27.23965,0,0,False,1334,23.3,-21.62,0.09,t.T-type,1.37
UGC06545,173.4333,32.63361,0,0,False,2619,40,-22.36,0.12,t.T-type,1.2
UGC08040,193.6814,58.77652,0,0,False,2515,39.8,-21.92,0.04,t.T-type,0.99
UGC08603,204.1404,44.59923,0,0,False,2601,40.6,-22.12,0.07,t.T-type,0.87
UGC08684,205.5663,60.77678,0,0,False,2195,35.6,-22.08,0.08,t.T-type,1.39
UGC09858,231.6728,40.5644,0,0,False,2621,40.9,-23.14,0.07,t.T-type,1.24
